title,authors,affiliations,keywords,abstract,venue,year,track_or_issue_name,volume_number,issue,issue_name,pages,length,citations,url
A New Geometric Data Perturbation Method for Data Anonymization Based on Random Number Generators,Merve Kanmaz | Muhammed Ali Aydin | Ahmet Sertbas,"Computer Programming Department, Istanbul University-Cerrahpasa, Istanbul, Turkey | Computer Engineering Department, Istanbul University-Cerrahpasa, Istanbul, Turkey | Computer Engineering Department, Istanbul University-Cerrahpasa, Istanbul, Turkey",Privacy-preserving data mining | data anonymization | data perturbation | geometric perturbation | random number generators,"With the technology's rapid development and its involvement in all areas of our lives, the volume and value of data have become a significant field of study. Valuation of the data to this extent has produced some consequences in terms of people's knowledge. Data anonymization is the most important of these issues in terms of the security of personal data. Much work has been done in this area and continues to being done. In this study, we proposed a method called RSUGP for the anonymization of sensitive attributes. A new noise model based on random number generators has been proposed instead of the Gaussian noise or random noise methods, which are being used conventionally in geometric data perturbation. We tested our proposed RSUGP method with six different databases and four different classification methods for classification accuracy and attack resistance; then, we presented the results section. Experiments show that the proposed method was more successful than the other two classification accuracy, attack resistance, and runtime.",JWE,2021,,20,6,,1947-1970,2,1,https://ieeexplore.ieee.org/document/10246896/
Key Distribution Strategy of Wireless Sensor Network Based on Multi-Hash Chain,Peng Xiong | Qinggang Su,"School of Electronics and Information, Shang hai Dianji University, Shanghai, China | Chinesisch-Deutsche Kolleg für Intelligente Produktion, Shanghai Dianji University, Shanghai, China",Wireless sensor network | key pre-distribution | pairwise key | hash chain,"Key management is the basis of the security mechanism for wireless sensor networks and services, and random key pre-distribution is the most effective key management mechanism at present. However, there is a potential challenge to most current random key pre-distribution strategies: it is difficult to achieve both ideal network security connectivity and network survivability. In this paper, we present a novel random key pre-distribution scheme based on the hash chain. By adjusting certain system parameters, such as the hash chain length, the number of common auxiliary nodes and the number of hash chains, a sensor node only need to preload a few of keys, making it possible to establish the pairwise key with high probability among its neighboring nodes. The proposed scheme can still maintain strong network survivability even if there are many compromised nodes. The theoretical analysis and simulation experiments show that the proposed scheme is not only effective and secure, but also scalable.",JWE,2021,,20,3,,713-742,2,4,https://ieeexplore.ieee.org/document/10246193/
Tiny Drone Tracking Framework Using Multiple Trackers and Kalman-based Predictor,Sohee Son | Jeongin Kwon | Hui-Yong Kim | Haechul Choi,"Hanbat National University, South Korea | Hanbat National University, South Korea | Kyung Hee University, South Korea | Hanbat National University, South Korea",Object tracking | unmanned aerial vehicles | drones | surveillance system,"Unmanned aerial vehicles like drones are one of the key development technologies with many beneficial applications. As they have made great progress, security and privacy issues are also growing. Drone tacking with a moving camera is one of the important methods to solve these issues. There are various challenges of drone tracking. First, drones move quickly and are usually tiny. Second, images captured by a moving camera have illumination changes. Moreover, the tracking should be performed in real-time for surveillance applications. For fast and accurate drone tracking, this paper proposes a tracking framework utilizing two trackers, a predictor, and a refinement process. One tracker finds a moving target based on motion flow and the other tracker locates the region of interest (ROI) employing histogram features. The predictor estimates the trajectory of the target by using a Kalman filter. The predictor contributes to keeping track of the target even if the trackers fail. Lastly, the refinement process decides the location of the target taking advantage of ROIs from the trackers and the predictor. In experiments on our dataset containing tiny flying drones, the proposed method achieved an average success rate of 1.134 times higher than conventional tracking methods and it performed at an average run-time of 21.08 frames per second.",JWE,2021,,20,8,,2391-2412,2,4,https://ieeexplore.ieee.org/document/10246840/
Creating and Capturing Artificial Emotions in Autonomous Robots and Software Agents,Claus Hoffmann | Pascal Linden | Maria-Esther Vidal,"Research Group Robots and Software Agents with Emotions, Sankt Augustin, Germany | University of Bonn, Germany | TIB Leibnitz Information Centre for Science and Technology, Hannover, Germany",Autonomous agents | artificial emotions | agent knowledge graphs,"This paper presents ARTEMIS, a control system for autonomous robots or software agents. ARTEMIS can create human-like artificial emotions during interactions with their environment. We describe the underlying mechanisms for this. The control system also captures its past artificial emotions. A specific interpretation of a knowledge graph, called an Agent Knowledge Graph, stores these artificial emotions. ARTEMIS then utilizes current and stored emotions to adapt decision making and planning processes. As proof of concept, we realize a concrete software agent based on the ARTEMIS control system. This software agent acts as a user assistant and executes their orders and instructions. The environment of this user assistant consists of several other autonomous agents that offer their services. The execution of a user's orders requires interactions of the user assistant with these autonomous service agents. These interactions lead to the creation of artificial emotions within the user assistant. The first experiments show that it is possible to realize an autonomous user assistant with plausible artificial emotions with ARTEMIS and record these artificial emotions in its Agent Knowledge Graph. The results also show that captured emotions support successful planning and decision making in complex dynamic environments. The user assistant with emotions surpasses an emotionless version of the user assistant.",JWE,2021,,20,4,,993-1030,2,7,https://ieeexplore.ieee.org/document/10246227/
Named Entity Recognition with Gating Mechanism and Parallel BiLSTM,Yenan Yi | Yijie Bian,"School of Business, Hohai University, Nanjing, China | School of Business, Hohai University, Nanjing, China",Named entity recognition | parallel BiLSTM | gating mechanism | CoNLL-2003,"In this paper, we propose a novel neural network for named entity recognition, which is improved in two aspects. On the one hand, our model uses a parallel BiLSTM structure to generate character-level word representations. By inputting character sequences of words into several independent and parallel BiLSTMs, we can obtain word representations from different representation subspaces, because the parameters of these BiLSTMs are randomly initialized. This method can enhance the expression abilities of character-level word representations. On the other hand, we use a two-layer BiLSTM with gating mechanism to model sentences. Since the features extracted by each layer in a multi-layer LSTM from texts contain different types of information, we use the gating mechanism to assign appropriate weights to the outputs of each layer, and take the weighted sum of these outputs as the final output for named entity recognition. Our model only changes the structure, does not need any feature engineering or external knowledge source, which is a complete end-to-end NER model. We used the CoNLL-2003 English and German datasets to evaluate our model and got better results compared with baseline models.",JWE,2021,,20,4,,1219-1238,2,4,https://ieeexplore.ieee.org/document/10246195/
Web Usage Mining by Neural Hybrid Prediction with Markov Chain Components,Arpad Gellert,"Computer Science and Electrical Engineering Department, Lucian Blaga University of Sibiu, Romania",Web prefetching | webpage prediction | Markov chains | neural networks | browser extension,"This paper presents and evaluates a two-level web usage prediction technique, consisting of a neural network in the first level and contextual component predictors in the second level. We used Markov chains of different orders as contextual predictors to anticipate the next web access based on specific web access history. The role of the neural network is to decide, based on previous behaviour, whose predictor's output to use. The predicted web resources are then prefetched into the cache of the browser. In this way, we considerably increase the hit rate of the web browser, which shortens the load times. We have determined the optimal configuration of the proposed hybrid predictor on a real dataset and compared it with other existing web prefetching techniques in terms of prediction accuracy. The best configuration of the proposed neural hybrid method provides an average web access prediction accuracy of 86.95%.",JWE,2021,,20,5,,1341-1358,2,4,https://ieeexplore.ieee.org/document/10246875/
Efficient Retrieval of Data Using Semantic Search Engine Based on NLP and RDF,Usha Yadav | Neelam Duhan,"National Institute of Fashion Technology, Jodhpur, India | YMCA, J. C. Bose University of Science & Technology, Faridabad, India",Domain ontology | semantic search engine | SPARQL | natural language processing | RDF,"With the evolution of Web 3.0, the traditional algorithm of searching Web 2.0 would become obsolete and underperform in retrieving the precise and accurate information from the growing semantic web. It is very reasonable to presume that common users might not possess any understanding of the ontology used in the knowledge base or SPARQL query. Therefore, providing easy access of this enormous knowledge base to all level of users is challenging. The ability for all level of users to effortlessly formulate structure query such as SPARQL is very diverse. In this paper, semantic web based search methodology is proposed which converts user query in natural language into SPARQL query, which could be directed to domain ontology based knowledge base. Each query word is further mapped to the relevant concept or relations in ontology. Score is assigned to each mapping to find out the best possible mapping for the query generation. Mapping with highest score are taken into consideration along with interrogative or other function to finally formulate the user query into SPARQL query. If there is no search result retrieved from the knowledge base, then instead of returning null to the user, the query is further directed to the Web 3.0. The top “k” documents are considered to further converting them into RDF format using Text2Onto tool and the corpus of semantically structured web documents is build. Alongside, semantic crawl agent is used to get <Subject-Predicate-Object> set from the semantic wiki. The Term Frequency Matrix and Co-occurrence Matrix are applied on the corpus following by singular Value decomposition (SVD) to find the results relevant for the user query. The result evaluations proved that the proposed system is efficient in terms of execution time, precision, recall and f-measures.",JWE,2021,,20,8,,2285-2318,2,3,https://ieeexplore.ieee.org/document/10246838/
Design and Analysis of Low Delay Deterministic Network Based on Data Mining Association Analysis,Jianhu Gong,"School of Data and Computer Science, Guangdong Peizheng College, Guangzhou, P.R. China",Cache | prefetch | unordered pages | association analysis | data mining,"The purpose of this paper is to research on the design and analysis of low delay deterministic network based on data mining association. This paper studies and implements the algorithm of mining page association rules. A session recognition algorithm based on log reference page and request time is proposed by using the time probability relationship of continuous requests. This method improves the accuracy of log data preprocessing and page association rules mining. This paper studies and tests the efficiency, prefetch timing and cache organization of the two page association rules. The results show that in this prefetch scheme, the prefetch performance of the association rules of unordered pages is better than that of the association rules of ordered pages. The prefetch performance when cache hits is better than that when cache fails and the cache fails to hit has better performance. In the case of a certain size of cache space, reasonable organization of cache space can further improve the cache hit rate and reduce the network delay.",JWE,2021,,20,2,,513-532,2,4,https://ieeexplore.ieee.org/document/10247323/
Construction and Application of the User Behavior Knowledge Graph in Software Platforms,Fuhua Shang | Qiuyu Ding | Ruishan Du | Mao06 Cao | Huanyu Chen,"School of Computer and Information Technology, Northeast Petroleum University, China | School of Computer and Information Technology, Northeast Petroleum University, China | School of Computer and Information Technology, Northeast Petroleum University, China | School of Computer and Information Technology, Northeast Petroleum University, China | School of Computer and Information Technology, Northeast Petroleum University, China",User behavior knowledge graph | user knowledge extraction | graph database | knowledge graph construction,"The analysis of user behavior provides a large amount of useful information. After being extracted, this information is called user knowledge. User knowledge plays a guiding role in implementing user-centric updates for software platforms. A good representation and application of user knowledge can accelerate the development of a software platform and improve its quality. This paper aims to further the utilization of user knowledge by mining the user knowledge that is implicit in user behavior and then constructing a knowledge graph of this behavior. First, the association between a software bug and a software component is mined from the user knowledge. Then, the knowledge entity extraction and relationship extraction are performed from the development code and the user behavior. Finally, the knowledge is stored in the graph database, from which it can be visually retrieved. Relevant experiments on CIFLog, an integrated logging processing software platform, have proved the effectiveness of this research. Constructing a user behavior knowledge graph can improve the utilization of user knowledge as well as the quality of software platform development.",JWE,2021,,20,2,,387-411,2,6,https://ieeexplore.ieee.org/document/10247325/
Performance Analysis of Routing Protocols On IPv4 and IPv6 Addressing Networks,Neha Jain | Ashish Payal | Aarti Jain,"USICT, GGSIPU, New Delhi, India | USICT, GGSIPU, New Delhi, India | AIACTR, NSUT, New Delhi, India",Internet Protocol (IP) | IPv4 | IPv6 | Routing Protocols | Routing Information Protocol (RIP) | Routing Information Protocol Next Generation (RIPng),"With IPv4 addresses being exhausted, network engineers and researchers are encouraged to adopt IPv6. But before using the IPv6 network directly, engineers need to test their hardware and network performance under new conditions of IPv6 as it has an extended address, high complexity, overhead performance, and IPsec complications. As routing protocols play a crucial role in network performance, it leads to a network's extended performance by finding the shortest path, good throughput, and lowest delay. As the specifications, viz. frame structure for IPv4 and IPv6 are entirely different, there are modified routing protocols specified for IPv6. Routing Information Protocol (RIP) and Routing Information Protocol Next Generation (RIPng) are distance vector routing protocols and use hop count as a cost. In this paper, we have used RIPng on the IPv6 addressing network and RIP on the IPv4 addressing network and then analyze and compare them on the basis of different performance parameters. For this comparison, three different applications - File Transfer Protocol (FTP), DB Query (DataBase), and electronic mail (e-mail) - are set on a network consisting of three different subnets, each having a diverse network topology. The performance parameters analyzed are global and object statistics, viz. ethernet delay, number of hops, applications response time, background traffic delay, traffic dropped, point-to-point links throughput, links utilization, and links queuing delay. The experimental results determine the strength of the routing protocols. Thus, the quantitative results give the option to choose the routing protocol according to the network scenarios. In terms of ethernet delay, traffic dropped, network convergence, and security, it is found that the RIPng_IPv6 network performs better than RIP_IPv4. RIPng_IPv6 has an ethernet delay of 2.9 milliseconds, traffic dropped of 0.29 packets/second, and network convergence of 17 seconds less than RIP_IPv4 values. However, the RIP_IPv4 network is scalable, uses less hop, and has 40 milliseconds of traffic delay, while RIPng_IPv6 has 0.40 seconds of traffic delay. RIP_IPv4 also has a better response time for all three applications, FTP as 100 milliseconds, DB as 40 milliseconds, and e-mail as 20 milliseconds which is much less than the values obtained for RIPng_IPv6 network. Therefore, according to the performance requirements, the network engineers/operators or researchers can use either the existing IPv4 network or a new IPv6 network to achieve the Quality of Service (QoS) target level.",JWE,2021,,20,5,,1389-1428,2,9,https://ieeexplore.ieee.org/document/10246883/
Generation of Realistic Navigation Paths for Web Site Testing Using RNN and GAN,Silvio Pavanetto | Marco Brambilla,"Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy | Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy",Web engineering | deep learning | data mining | generative adversarial networks | recurrent neural networks | testing,"For applications that have not yet been launched, a reliable way for creating online navigation logs may be crucial, enabling developers to test their products as though they were being used by real users. This might lead to faster and lower-cost program testing and enhancement, especially in terms of usability and interaction. In this work we propose a method for using deep learning approaches such as recurrent neural networks (RNN) and generative adversarial neural networks (GANN) to produce high-quality weblogs. Eventually, we can utilize the created data for automated testing and improvement of Web sites prior to their release with the aid of model-driven development tools such as IFML Editor.",JWE,2021,,20,8,,2571-2604,2,2,https://ieeexplore.ieee.org/document/10246917/
Bayesian Probability and Tanimoto Based Recurrent Neural Network for Question Answering System,Veeraraghavan Jagannathan,"Department of Computer Science and Engineering, Sri Vasavi Engineering College (Autonomouus), Pedatadepalli, Tadepalligudem, Andhra Pradesh, India",Question answering system | question classification | recurrent neural network | Bayesian probability | machine learning,"Question Answering (QA) has become one of the most significant information retrieval applications. Despite that, most of the question answering system focused to increase the user experience in finding the relevant result. Due to the continuous increase of web content, retrieving the relevant result faces a challenging issue in the Question Answering System (QAS). Thus, an effective Question Classification (QC), and retrieval approach named Bayesian probability and Tanimoto-based Recurrent Neural Network (RNN) are proposed in this research to differentiate the types of questions more efficiently. This research presented an analysis of different types of questions with respect to the grammatical structures. Various patterns are identified from the questions and the RNN classifier is used to classify the questions. The results obtained by the proposed Bayesian probability and Tanimoto-based RNN showed that the syntactic categories related to the domain-specific types of proper nouns, numeral numbers, and the common nouns enable the RNN classifier to reveal better result for different types of questions. However, the proposed approach obtained better performance in terms of precision, recall, and F-measure with the values of 90.14, 86.301, and 90.936 using dataset-2.",JWE,2021,,20,3,,903-934,2,3,https://ieeexplore.ieee.org/document/10246214/
An MDA Proposal To Integrate the Measurement Lifecycle Into the Process Lifecycle,Ayman Meidan | J. A. García-García | Isabel Ramos Ramos | David Lizcano | María José Escalona,"University of Seville, Seville, Spain | University of Seville, Seville, Spain | University of Seville, Seville, Spain | School of Computer Science, Madrid Open University (UDIMA), Madrid, Spain | University of Seville, Seville, Spain",Software development process | process measurement | process metrics and indicators | measurement lifecycle,"Context: Measuring the Software Development Process (SDP) supports organizations in their endeavor to understand, manage, and improve their development processes and projects. In the last decades, the SDP has evolved to meet the market needs and keep abreast of modern technologies and infrastructures. These changes in the development processes have increased the importance of the measurement and caused changes in the measurement process and the used measures. Objective: This work aims to develop a solution to support the measurement activities throughout the process lifecycle. Method: Study the current state of the art to identify existing gaps. Then, propose a solution to support the process measurement throughout the SDP life-cycle. Results: The proposed solution consists of two main components: (i) Measurement lifecycle, which defines the measurement activities throughout the SDP lifecycle, (ii) Measurement definition metamodel (MDMM), which supports the measurement lifecycle and its integration into the process life-cycle. Conclusion: This proposal allows organizations to define, manage, and improve their processes; the proposed information model supports the unification of the measurement concepts and vocabulary. The defined measurement lifecycle provides a comprehensive guide for the organizations to establish the measurement objectives and carry out the necessary activities to achieve them. The proposed MDMM supports and guides the engineers in the complete and operational definition of the measurement concepts.",JWE,2021,,20,7,,2081-2129,2,0,https://ieeexplore.ieee.org/document/10246216/
Development of Digital Libraries with Software Product Line Engineering,Delfina Ramos-Vidal | Alejandro Cortiñas | Miguel R. Luaces | Oscar Pedreira | Angeles Saavedra-Places,"Universidade da Coruña, Centro de Investigación CITIC, Laboratorio de Bases de Datos, Facultade de Informática, Elviña, A Coruña, Spain | Universidade da Coruña, Centro de Investigación CITIC, Laboratorio de Bases de Datos, Facultade de Informática, Elviña, A Coruña, Spain | Universidade da Coruña, Centro de Investigación CITIC, Laboratorio de Bases de Datos, Facultade de Informática, Elviña, A Coruña, Spain | Universidade da Coruña, Centro de Investigación CITIC, Laboratorio de Bases de Datos, Facultade de Informática, Elviña, A Coruña, Spain | Universidade da Coruña, Centro de Investigación CITIC, Laboratorio de Bases de Datos, Facultade de Informática, Elviña, A Coruña, Spain",Software product lines engineering | digital libraries | generation engine,"Digital Libraries have become popular nowadays since important libraries all over the world started distributing their collections online, properly classified, and, in many cases, with access to the digital version of the resource. These programs have been beneficial to the general population as well as research groups in fields such as language and literature. Nonetheless, since their creation is a time-consuming and costly process, small organizations are forced to rely on obsolete or poorly designed software. However, most of the features, including the data model, are shared by this type of system, with minor variations depending on the type of resources to be handled. This article presents a Software Product Line (SPL) for the semi-automatic generation of Digital Libraries (DL). Our SPL allows developers to specify which DL features are required, which will define the data model variation and the generated source code. The specification is then transformed into a fully functional DL application with the specified features that is ready for deployment. We present the feature model, the SPL implementation, and a case study on three sample projects that enabled us to evaluate the resulting software, with a focus on development effort savings.",JWE,2021,,20,7,,2017-2058,2,8,https://ieeexplore.ieee.org/document/10246220/
A Novel Automated Guided Vehicle (AGV) Remote Path Planning Based on RLACA Algorithm in 5G Environment,Wangwang Yu | 06 Liu | Jie Zhou,"School of Electrical Engineering, Shanghai DianJi University, Shanghai, China | School of Electrical Engineering, Shanghai DianJi University, Shanghai, China | School of Electrical Engineering, Shanghai DianJi University, Shanghai, China",5G | path planning | ant colony algorithm | reinforcement learning | path correction,"Remote control and monitoring will become the future trend. High-quality automated guided vehicle (AGV) path planning through web pages or clients can reduce network data transmission capacity and server resource occupation. Many Remote path planning algorithms in AGV navigation still have blind search, path redundancy, and long calculation time. This paper proposed an RLACA algorithm based on 5G network environment through remote control of AGV. The distribution of pheromone in each iteration of the ant colony algorithm had an impact on the follow-up. RLACA algorithm changed the transfer rules and pheromone distribution of the ant colony algorithm to improve the efficiency of path search and then modify the path to reduce path redundancy. Considering that there may be unknown obstacles in the virtual environment, the path obtained by the improved ant colony algorithm is used as the training data of reinforcement learning to obtain the Q-table. During the movement, the action of each step is selected by the Q-table until the target point is reached. Through experimental simulation, it can be concluded that the enhanced ant colony algorithm can quickly obtain a reasonable and adequate path in a complex environment and effectively avoid unknown obstacles in the environment.",JWE,2021,,20,8,,2491-2520,2,4,https://ieeexplore.ieee.org/document/10246900/
Sibelius as a Tool to Improve Student's Ability of Making Counterpoint Melody,Oriana Tio Parahita Nainggolan | Ayu Niza Machfazia | Fortunata Tyasrinestu | Djohan | Phakkharawat Sittiprapaporn,"Department of Music Education, Faculty of Performing Arts, Indonesia Institute of the Arts, Yogyakarta, Indonesia | Department of Music Education, Faculty of Languages and Arts, Yogyakarta State University, Yogyakarta, Indonesia | Department of Music Education, Faculty of Performing Arts, Indonesia Institute of the Arts, Yogyakarta, Indonesia | Department of Performing Arts, Faculty of Performing Arts, Indonesia Institute of the Arts, Yogyakarta, Indonesia | Neuropsychological Research Laboratory, Department of Anti-Aging and Regenerative Science, School of Anti-Aging and Regenerative Medicine, Mae Fah Luang University, Bangkok, Thailand",Sibelius | counterpoint melody | music | student's ability,"As a subject for music students, counterpoint contributes to the ability to create a melody. The melody in counterpoint usually consists of two or more layers. In order to make a counterpoint melody, students must acknowledge the rules to construct the counterpoint melody. A good counterpoint melody involves two important things: the flow of the melody in a vertical and horizontal in vertical line (interval) and the musical texture of the melody. As a beginner in learning counterpoint, writing a counterpoint melody might be difficult at first. Learning counterpoint investigation was found that students spent a lot of their time following the counterpoint rules. They particularly did not focus on the musical sense of the counterpoint melody causing the melody loses its musical senses. Sibelius was used here as a tool to solve the problem. Sibelius is a music software which commonly used in writing musical scores. This study examined Sibelius in making a counterpoint melody in learning counterpoint. The data were gathered through observation and interviews with students during learning counterpoint course. The result showed that by using Sibelius, making counterpoint melody more efficient, and it helped student not only focused on the counterpoint rules but also the musical senses of the counterpoint melody. Furthermore, students also showed the improvement of their skills in making a counterpoint melody.",JWE,2021,,20,8,,2361-2390,2,1,https://ieeexplore.ieee.org/document/10246899/
An Empirical Study of Web Page Structural Properties,Xavier Chamberland-Thibeault | Sylvain Hallé,"Laboratoire d'informatique formelle, Université du Québec à, Chicoutimi, Canada | Laboratoire d'informatique formelle, Université du Québec à, Chicoutimi, Canada",,"The paper reports results on an empirical study of the structural properties of HTML markup in websites. A first large-scale survey is made on 708 contemporary (2019-2020) websites, in order to measure various features related to their size and structure: DOM tree size, maximum degree, depth, diversity of element types and CSS classes, among others. The second part of the study leverages archived pages from the Internet Archive, in order to retrace the evolution of these features over a span of 25 years. The goal of this research is to serve as a reference point for studies that include an empirical evaluation on samples of web pages.",JWE,2021,,20,4,,1031-1062,2,3,https://ieeexplore.ieee.org/document/10246222/
Enhanced Real-Time Intermediate Flow Estimation for Video Frame Interpolation,Minseop Kim | Haechul Choi,"Department of Multimedia Engineering, Hanbat National University, Daejeon, Republic of Korea | Department of Multimedia Engineering, Hanbat National University, Daejeon, Republic of Korea",Video frame interpolation | optical flow estimation | contextual information | multiscale fusion,"Recently, the demand for high-quality video content has rapidly been increasing, led by the development of network technology and the growth in video streaming platforms. In particular, displays with a high refresh rate, such as 120 Hz, have become popular. However, the visual quality is only enhanced if the video stream is produced at the same high frame rate. For the high quality, conventional videos with a low frame rate should be converted into a high frame rate in real time. This paper introduces a bidirectional intermediate flow estimation method for real-time video frame interpolation. A bidirectional intermediate optical flow is directly estimated to predict an accurate intermediate frame. For real-time processing, multiple frames are interpolated with a single intermediate optical flow and parts of the network are implemented in 16-bit floating-point precision. Perceptual loss is also applied to improve the cognitive performance of the interpolated frames. The experimental results showed a high prediction accuracy of 35.54 dB on the Vimeo90K triplet benchmark dataset. The interpolation speed of 84 fps was achieved for 480p resolution.",JWE,2021,,20,8,,2413-2432,2,0,https://ieeexplore.ieee.org/document/10246902/
Chirp Spreading Spectrum in Imperfect Environment and Wireless Tree Topology Network,Hongqiang Li | Dongyan Zhao | Xiaoke Tang | Jie Gan | Xu Zhao | Yubing Zhang,"Beijing Smart-Chip Microelectronics Technology Co., Ltd., Beijing, China | Beijing Smart-Chip Microelectronics Technology Co., Ltd., Beijing, China | Beijing Smart-Chip Microelectronics Technology Co., Ltd., Beijing, China | Beijing Smart-Chip Microelectronics Technology Co., Ltd., Beijing, China | Beijing Smart-Chip Microelectronics Technology Co., Ltd., Beijing, China | Beijing Smart-Chip Microelectronics Technology Co., Ltd., Beijing, China",LoRa | LPWAN | FSCM | chirp | IoT | DCoMP | Tree topology,"With the rapid development of IoT technology in recent years, higher requirements have been put forward for wireless communication technology. Low Power Wide Area Network (LPWAN) technology is emerging rapidly, the technology is characterized by low power consumption, low bandwidth, long-distance, and a large number of connections, and is specifically designed for Internet of Things applications. LoRa (Low Power Long Range Transceiver), as a typical representative of LPWAN technology, has been widely concerned and studied. This paper analyzes the performance of LoRa modulation in the tree topology network and analyzes the performance of LoRa modulation in the imperfect environment for point-to-point communication and multipoint-to-point communication. From theoretical analysis and performance simulation, it can be seen that the influence of frequency offset or multipath fading on LoRa signal is very obvious. However, when LoRa modulation is used for networking, multi-user interference will be introduced. Under the influence of many imperfect factors, the signal receiver performance of LoRa modulation will be difficult to guarantee. Because of these effects, Coordinated Multiple Points based on Timing Delay (DCoMP) is presented. Multiple nodes close to each other send the same data to the target node. Due to the inaccurate synchronization between nodes, there will be a certain relative delay when sending signals to the same target node. After the receiving node combines the signals of multiple nodes according to different relative delays, the reception performance of the signals can be improved. At the same time, the cooperative node can also actively adjust the signal sending time to improve the reception performance of the receiving node signal merging algorithm. LoRa modulation, by using DCoMP transmission, improves the reception of signals and thus the overall capacity of the system. Through the analysis of multipoint communication and single point communication, this paper is of great help to LoRa network deployment.",JWE,2021,,20,1,,191-216,2,1,https://ieeexplore.ieee.org/document/10246866/
An Ontology Representation Language for Multimedia Event Applications,Nisha Pahal | Brejesh Lall | Santanu Chaudhury,"Department of Electrical Engineering, Indian Institute of Technology, Delhi, India | Department of Electrical Engineering, Indian Institute of Technology, Delhi, India | Department of Electrical Engineering, Indian Institute of Technology, Delhi, India",Multimedia web ontology language (MOWL) | event | multimedia event ontology language (E-MOWL) | Bayesian network (BN) | inference,"This paper presents formalization of a new Multimedia Web Ontology Language (E-MOWL) to handle events with media depictions. The temporal, spatial and entity aspects that are implicitly linked to an event are represented through this language to model the context of events. The language EMOWL provides a rich method for representing knowledge corresponding to a specific domain wherein the context specifies the intended meaning of each element of the domain of discourse; an element in different context may correspond to different functional role. The context information associated with an event ties the audiovisual data with event related aspects. In this work, we have extended E-MOWL to model the geographic properties associated with an event by exploiting the geospatial knowledge. This facilitates in identifying the geographic context of an event. All these aspects when considered altogether provide the evidence and contribute towards recognizing an event from multimedia documents. The language also enables reasoning with the uncertainty associated with the events and is organized in the form of Bayesian Network (BN). The media items that are semantically relevant can be assimilated together on the basis of their association with events. We have demonstrated the efficacy of our approach by utilizing an ontology for the entertainment category in news domain to offer an application news aggregation and event-based book recommendations.",JWE,2021,,20,2,,217-252,2,0,https://ieeexplore.ieee.org/document/10247314/
An Algorithm with Efficiently Collecting and Aggregating Data for Wireless Sensor Networks,Peng Xiong | Qinggang Su,"School of Electronics and Information, Shang hai Dianji University, Shanghai, China | Chinesisch-Deutsche Kolleg für Intelligente Produktion, Shanghai Dianji University, Shanghai, China",Collecting data | aggregating data | minimum spanning tree | cluster,"Due to the resource constraint, in wireless sensor network, the node processing ability, wireless bandwidth and battery capacity and other resources are scarcer. For improving the energy efficient and extend the lifetime of the network, this paper proposes a novel algorithm with the distributed and energy-efficient for collecting and aggregating data of wireless sensor network. In the proposed protocol, nodes can autonomously compete for the cluster head based on its own residual energy and the signal strength of its neighbouring nodes. To reduce the energy overhead of cluster head nodes, with a multi-hop way among cluster heads, the collected data from cluster heads is sent to a designated cluster head so as to further send these data to a base station. For improving the performance of the proposed protocol, a new cluster coverage method is proposed to fit the proposed protocol so that when the node density increases, network lifetime can be increased linearly as the number of nodes is increased. Simulations experiments show that network lifetime adopting the proposed protocol is sharply increased. And, the proposed protocol makes all the nodes die (network lifetime is defined as the death of last one node) in the last 40 rounds so that networks adopting the proposed protocol have higher reliability than networks adopting compared protocols.",JWE,2021,,20,3,,615-640,2,1,https://ieeexplore.ieee.org/document/10246192/
Comparing Voice Assistant Risks and Potential with Technology-Based Users: A Study from Germany and Spain,Andreas M. Klein | Maria Rauschenberger | Jörg Thomaschewski | Maria José Escalona,"Department of Computer Languages and Systems, University of Seville, Spain | Faculty of Technology, University of Applied Sciences, Emden/Leer, Germany | Faculty of Technology, University of Applied Sciences, Emden/Leer, Germany | Department of Computer Languages and Systems, University of Seville, Spain",Voice user interface | VUI | voice assistant | user experience | UX | context of use | frequency of use | questionnaire,"Currently, voice assistants (VAs) are trendy and highly available. The VA adoption rate of internet users differs among European countries and also in the global view. Due to speech intelligibility and privacy concerns, using VAs is challenging. Additionally, user experience (UX) assessment methods and VA improvement possibilities are still missing, but are urgently needed to overcome users' concerns and increase the adoption rate. Therefore, we conducted an intercultural study of technology-based users from Germany and Spain, expecting that higher improvement potential would outweigh concerns about VAs. We investigated VA use in terms of availability versus actual use, usage patterns, concerns, and improvement proposals. Comparing Germany and Spain, our findings show that nearly the same amount of intensive VA use is found in both technology-based user groups. Despite cultural differences, further results show very similar tendencies, e.g., frequency of use, privacy concerns, and demand for VA improvements.",JWE,2021,,20,7,,1991-2016,2,15,https://ieeexplore.ieee.org/document/10246226/
