title,authors,affiliations,keywords,abstract,venue,year,pages,length,citations,url
PrivaSeer: A Privacy Policy Search Engine,"Mukund Srinath, Soundarya Nurani Sundareswara, C. Lee Giles & Shomir Wilson","Pennsylvania State University, University Park, State College, PA, USA",Privacy; Search engine; Ranking,"Web privacy policies are used by organisations to disclose their privacy practices to users on the web. However, users often do not read privacy policies because they are too long, time consuming, or too complicated. Attempts to simplify privacy policies using natural language processing have achieved some success, but they face limitations of scalability and generalization. While this puts an onus on researchers and policy regulators to protect users against unfair privacy practices, they often lack a large-scale collection of policies to study the state of internet privacy. To remedy this bottleneck, we present PrivaSeer, the first privacy policy search engine. PrivaSeer has been indexed on 1,400,318 English language website privacy policies and can be used to search privacy policies based on text queries and several search facets. Results can be ranked by PageRank, query-based document relevance, and the probability that a document is a privacy policy. Results also can be filtered by readability, vagueness, industry, and mentions of tracking technology, self-regulatory bodies, or regulations and cross-border agreements in the policy text. PrivaSeer allows legal experts, researchers, and policy regulators to discover privacy trends and policy anomalies in privacy policies at scale. In this paper we present the search interface, ranking technique, and filtering techniques for PrivaSeer. We create two indexes of privacy policies: one including supplementary non-policy content present in privacy policy web pages and one without. We evaluate the functionality of PrivaSeer by comparing ranking techniques on these two indexes.",International Conference on Web Engineering,2021,286-301,16,13,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_22
A-MaGe: Atomic Mashup Generator for the Web of Things,"Ege Korkan, Fady Salama & Sebastian Steinhorst; Sebastian Kaebisch","Siemens AG, Munich, Germany; Technical University of Munich, Munich, Germany",Web of Things; Mashup composition,"Individually, Internet of Things (IoT) devices are often not able to achieve complex functionalities and, therefore, need to be composed together into useful mashups. However, given the current fragmentation of the IoT domain, designing a mashup is still a manual task that is time-consuming and error-prone. The introduction of the Thing Description (TD) from the World Wide Web Consortium (W3C) is meant to facilitate the interoperability between IoT devices and platforms by providing a standardized format to describe the network interfacing of entities, called Things, participating in the Web of Things (WoT). Furthermore, the System Description (SD) extension introduces the notion of Atomic Mashups (AMs), small mashup building blocks that are easier to design. However, designing AMs remains a manual task and, given the rising complexity of IoT devices, manually exploring the resulting design space is infeasible. In this paper, we introduce A-MaGe: a method and its open-source implementation that takes the TDs as an input and uses predefined templates, user-configurable rules, semantic annotation filtering and natural language processing to automatically explore and reduce the design space. SD-compliant UML Sequence Diagrams of the resulting mashups are presented to the human agent for further selection to generate the SD of the mashup as well as implementation code based on the W3C WoT Scripting API. We show that the generation process is fast, allowing multiple iterations by the human agent to increase reduction and we evaluate the filtering power of different filters and constraints. Thus, in combination with the TD standard, our method ensures easy composition of services in heterogeneous environments.",International Conference on Web Engineering,2021,320-327,8,4,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_24
Knowledge-Driven Architecture Composition: Assisting the System Integrator to Reuse Integration Knowledge,Fabian Burzlaff & Christian Bartelt,"Institute for Enterprise Systems (InES), University of Mannheim, 68131, Mannheim, Germany",Knowledge-driven architecture composition; Web service integration; Reuse,"Semantic interoperability for web services is still a problem. Although decentralized solutions such as describing the integration context with a formal mapping language or using a web service description language exist, practitioners rely on implementing software adapters manually. For IoT and Web of Things systems, current scientific solutions fall short as changing them, once defined, requires strenuous effort. However, devices and thus, their interfaces change often in this class of system. This paper tackles the barrier of high formalization effort for mappings between required and provided interfaces. Therefore, we apply and evaluate a novel integration method for web service choreography. Our empirical experiment shows that this method lowers the integration time and number of errors by assisting the system integrator to reuse integration knowledge from previous integration cases.",International Conference on Web Engineering,2021,305-319,15,4,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_23
Leveraging Web of Things W3C Recommendations for Knowledge Graphs Generation,"Dylan Van Assche, Gerald Haesendonck, Gertjan De Mulder, Thomas Delva, Pieter Heyvaert, Ben De Meester & Anastasia Dimou","IDLab, Department of Electronics and Information Systems, Ghent University – imec, Technologiepark-Zwijnaarde 122, 9052, Ghent, Belgium",,"Constructing a knowledge graph with mapping languages, such as RML or SPARQL-Generate, allows seamlessly integrating heterogeneous data by defining access-specific definitions for e.g., databases or files. However, such mapping languages have limited support for describing Web APIs and no support for describing data with varying velocities, as needed for e.g., streams, neither for the input data nor for the output RDF. This hampers the smooth and reproducible generation of knowledge graphs from heterogeneous data and their continuous integration for consumption since each implementation provides its own extensions. Recently, the Web of Things (WoT) Working Group released a set of recommendations to provide a machine-readable description of metadata and network-facing interfaces for Web APIs and streams. In this paper, we investigated (i) how mapping languages can be aligned with the newly specified recommendations to describe and handle heterogeneous data with varying velocities and Web APIs, and (ii) how such descriptions can be used to indicate how the generated knowledge graph should be exported. We extended RML’s Logical Source to support WoT descriptions of Web APIs and streams, and introduced RML’s Logical Target to describe the generated knowledge graph reusing the same descriptions. We implemented these extensions in the RMLMapper and RMLStreamer, and validated our approach in two use cases. Mapping languages are now able to use the same descriptions to define the input data but also the output RDF. This way, our work paves the way towards more reproducible workflows for knowledge graph generation.",International Conference on Web Engineering,2021,337-352,16,26,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_26
A Standalone WebAssembly Development Environment for the Internet of Things,István Koren,"Chair of Process and Data Science, RWTH Aachen University, Aachen, Germany",WebAssembly; Internet of Things; Industry 4.0,"In Industry 4.0, there is a growing demand to perform high-performance and latency-sensitive computations at the edge. Increasingly, machine data is not only collected but also processed and translated into actionable decisions influencing production parameters in real-time. However, heterogeneous hardware in the Internet of Things prevents the adoption of consistent development and deployment structures as known from service containers. WebAssembly is a recent hardware-agnostic bytecode format that is capable of running not only in the browser, but also on microcontrollers and in cloud environments. In this article, we argue that this web technology can have a real impact by leveraging tools and programming languages that web engineers are familiar with. As a first step, we present a proof-of-concept integrated development and deployment environment to execute WebAssembly modules on microcontrollers. Its key feature is a built-in web server that provides a self-contained browser-based IDE to directly develop, compile and flash AssemblyScript code to a device. In this sense, the Web of Things will unfold a streamlined development and deployment context for the agile and low-latency operationalization of adjustable data streaming and action-oriented process adaptations for industrial devices.",International Conference on Web Engineering,2021,353-360,8,9,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_27
Full Stack Is Not What It Used to Be,Antero Taivalsaari; Tommi Mikkonen; Cesare Pautasso; Antero Taivalsaari & Kari Systä,"USI, Lugano, Switzerland; Nokia Bell Labs, Tampere, Finland; Tampere University, Tampere, Finland; University of Helsinki, Helsinki, Finland",Education; Software engineering; Web engineering; Software architecture; Cloud; Internet of Things; IoT; Programmable world,"The traditional definition of full stack development refers to a skill set that is required for writing software both for the frontend and backend of a web application or site. In recent years, the scope of full stack development has expanded significantly, though. Today, a full stack software developer is assumed to master various additional areas especially related to cloud infrastructure and deployment, message brokers and data analytics technologies. In addition, the emergence of Internet of Things (IoT) and the rapidly spreading use of AI/ML technologies are introducing additional skill set requirements. In this paper, we discuss the expectations for a modern full stack developer based on our industry observations, and argue that these expectations have significant implications for software and web engineering education.",International Conference on Web Engineering,2021,363-371,9,26,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_28
An Improving Approach for DOM-Based Web Test Suite Repair,"Wei Chen, Hanyang Cao & Xavier Blanc; Wei Chen & Hanyang Cao","Beihang University, Beijing, China; University of Bordeaux, LaBRI, UMR 5800, 33400, Talence, France",Web test repair; Test suite; Web test evolution; Test case; Automated E2E test,"Developers increasingly rely on end-to-end (E2E) testing to test the web applications they develop and check whether there are no bugs from the end user’s perspective. An E2E test simulates the actions performed by the user using a browser and checks whether the web application returns the expected output. It considers web applications as a black box and only knows what user actions are and what their expected output is. However, once some evolutions are implemented on a web application, user actions may change (a button has been added, deleted, or just moved to another location), which may break the E2E test. Rebuilding new test suites takes a lot of time, especially for large web applications. Therefore, E2E testing needs to evolve with the development of web applications. To help the developers who face this situation, we present an approach, named WebTestSuiteRepair (WTSR), that aims to generate and compare test suite graphs to identify candidates for broken actions, hence helps to automatically and efficiently repair the E2E tests for web applications.",International Conference on Web Engineering,2021,372-387,16,9,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_29
Communicating Web Vessels: Improving the Responsiveness of Mobile Web Apps with Adaptive Redistribution,Kijin An & Eli Tilevich,"Software Innovations Lab, Virginia Tech, Blacksburg, USA",Mobile web apps; Javascript; Dynamic adaptation; Program analysis & transformation; Web frameworks,"In a mobile web app, a browser-based client communicates with a cloud-based server across the network. An app is statically divided into client and server functionalities, so the resulting division remains fixed at runtime. However, if such static division mismatches the current network conditions and the device’s processing capacities, app responsiveness and energy efficiency can deteriorate rapidly. To address this problem, we present Communicating Web Vessels (CWV), an adaptive redistribution framework that improves the responsiveness of full-stack JavaScript mobile apps. Unlike standard computation offloading, in which client functionalities move to run on the server, CWV’s redistribution is bidirectional. Without any preprocessing, CWV enables apps to move any functionality from the server to the client and vice versa at runtime, thus adapting to the ever-changing execution environment of the web. Having moved to the client, former server functionalities become regular local functions. By monitoring the network, CWV determines if a redistribution would improve app performance, and then analyzes, transforms, sandboxes, and moves functions and program state at runtime. An evaluation with third-party mobile web apps shows that CWV optimizes their performance for dissimilar network conditions and client devices. As compared to their original versions, CWV-powered web apps improve their performance (i.e., latency, energy consumption), particularly when executed over limited networks.",International Conference on Web Engineering,2021,388-403,16,5,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_30
Snapshot-Based Migration of ES6 JavaScript,Yong-Hwan Yoo & Soo-Mook Moon,"Seoul National University, 1 Gwanak-ro, Gwanak-gu, Seoul, South Korea",JavaScript; App migration; Serialization; Code generation,"Recently, researches have proposed application (app) migration approaches for JavaScript programs to enable a non-breaking user experience across different devices. To migrate a stateful JavaScript app’s runtime, past studies have proposed snapshot-based techniques in which the app’s runtime state is profiled and serialized into a text form that can be restored back later. A common limitation of existing literature, however, is that they are based on old JavaScript specifications. Since major updates introduced by ECMASCript2015 (a.k.a. ES6), JavaScript supports various features that cannot be migrated correctly with existing methods. Some of these features are in fact heavily used in today’s real-world apps and thus greatly reduces the scope of previous works.",International Conference on Web Engineering,2021,404-419,16,5,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_31
Automated Repair of Layout Bugs in Web Pages with Linear Programming,"Stéphane Jacquet, Xavier Chamberland-Thibeault & Sylvain Hallé","Laboratoire d’informatique formelle, Université du Québec à Chicoutimi, Chicoutimi, Canada",Layout bugs; Declarative specifications; Linear programming,"The paper addresses the issue of layout bugs, in which elements of a web page may overlap, become misaligned or protrude from their parent container for fortuitous reasons. It proposes a technique to apply corrections to a rendered page by formulating its current state and associated layout constraints into a Mixed Integer Linear Programming problem. An off-the-shelf numerical solver is used to generate a layout that satisfies the constraints, in such a way that disruptions to the original page are minimized. A probe then injects these corrections in the form of a temporary “hotfix”. The approach has been implemented and tested on samples of real-world web pages; using techniques that aim to reduce the size of the optimization problem, a solution can often be computed in a few seconds on commodity hardware.",International Conference on Web Engineering,2021,423-439,17,7,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_32
WebAssembly Modules as Lightweight Containers for Liquid IoT Applications,"Niko Mäkitalo, Tommi Mikkonen, Victor Bankowski, Paulius Daubaris & Risto Mikkola; Cesare Pautasso; Oleg Beletski","Huawei Technologies, Helsinki, Finland; University of Lugano, Lugano, Switzerland; University of Helsinki, Helsinki, Finland",Light-weight containers; Internet of Things; IoT; Liquid software; Containers; WebAssemly; Web of Things; WoT,"Going all the way to IoT with web technologies opens up the door to isomorphic IoT system architectures, which deliver flexible deployment and live migration of code between any device in the overall system. In this vision paper, we propose using WebAssembly to implement lightweight containers and deliver the required portability. Our long-term vision is to use the technology to support developers of liquid IoT applications offering seamless, hassle-free use of multiple devices.",International Conference on Web Engineering,2021,328-336,9,0,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_25
Open Data Accessibility Based on Voice Commands,"César González-Mora, Irene Garrigós & Jose-Norberto Mazón; Sven Casteleyn; Sergio Firmenich","Geospatial Technologies Lab (GEOTEC), Institute of New Imaging Technologies (INIT), University Jaime I, Castellón de la Plana, Spain; LIFIA, Facultad de Informatica, UNLP and CONICET, La Plata, Argentina; Web And Knowledge Research Group, Department of Software and Computing Systems, University of Alicante, Alicante, Spain",Web accessibility; Web augmentation; Open data; Voice interaction,"Nowadays, the accessibility of open data on the Web is problematic, in particular for those data enthusiasts (non-technical users really interested in data) with visual disabilities. They generally experience accessibility barriers when browsing open data portals. Therefore, in order to improve accessibility and facilitate visually impaired users to obtain open data, we propose a Web Augmentation Framework for Accessibility for Open Data (WAFRA4OD). The proposed approach uses Web augmentation techniques and voice interaction to help users in finding relevant open data by offering them various useful comments, including a full fledged voice interaction interface. Thereby, WAFRA4OD enables visually impaired data enthusiasts to explore and interact with open data portals using voice commands, and thus improves the accessibility of open data. To show the feasibility of WAFRA4OD we demonstrate its use in a case study using the European Data Portal.",International Conference on Web Engineering,2021,456-463,8,5,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_34
PWA vs the Others: A Comparative Study on the UI Energy-Efficiency of Progressive Web Apps,Stefan Huber & Lukas Demetz; Michael Felderer,"University of Applied Sciences Kufstein, Kufstein, Austria; Department of Computer Science, University of Innsbruck, Innsbruck, Austria",Mobile cross-platform development; Mobile web engineering; Mobile app energy efficiency; Progressive web apps,"Developing the same mobile app for multiple platforms is a prominent challenge for practitioners in mobile software development. When starting an app project, practitioners are faced with a plethora of development approaches to choose from. Progressive Web Apps (PWAs) are a novel and promising approach for mobile cross-platform development (MCPD). As mobile devices are limited regarding battery capacity, the energy footprint of a mobile app should be kept as low as possible. Thus, the aim of this study is to analyze the difference in energy consumption of PWAs and other mobile development approaches with a focus on UI rendering and interaction scenarios. For this, we implemented five versions of the same app with different development approaches and examined their energy footprint on two Android devices with four execution scenarios. The results show that the used development approach influences the energy footprint of a mobile app. Native development shows the lowest energy consumption. PWAs, albeit not the lowest energy consuming mobile development approach, are a viable alternative to other MCPD approaches. Moreover, the web-browser engine used to execute the PWA has a significant influence on the energy footprint of the app.",International Conference on Web Engineering,2021,464-479,16,34,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_35
Static Analysis of Large-Scale JavaScript Front End,Anton Karakochev & Gefei Zhang,"Hochschule für Technik und Wirtschaft Berlin, Berlin, Germany",,"In modern web applications, the elaborate GUI of the front end is often developed with large-scale JavaScript frameworks. In such systems, the behavior of one HTML element is usually defined by code in different JavaScript functions scattered all over the source files, and a piece of code may also have influence on other functions and variables all over the source files. Therefore, the data and control flow of the front end may be hard to follow. We propose an automated approach to integrate the overall data and control flow of the front end into an overview model, which then provides us with an excellent starting point to application of formal methods to prove the correctness of the front end. Our approach is hence helpful for comprehension of the front end code and validation of its correctness.",International Conference on Web Engineering,2021,483-489,7,1,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_36
A Model-Based Chatbot Generation Approach to Converse with Open Data Sources,"Hamza Ed-douibi, Javier Luis Cánovas Izquierdo, Gwendal Daniel & Jordi Cabot; Jordi Cabot","ICREA., Barcelona, Spain; UOC., Barcelona, Spain",Open data; UML; Chatbots; API; OpenAPI,"The Open Data movement promotes the free distribution of data. More and more companies and governmental organizations are making their data available online following the Open Data philosophy, resulting in a growing market of technologies and services to help publish and consume data. One of the emergent ways to publish such data is via Web APIs, which offer a powerful means to reuse this data and integrate it with other services. Socrata, CKAN or OData are examples of popular specifications for publishing data via Web APIs. Nevertheless, querying and integrating these Web APIs is time-consuming and requires technical skills that limit the benefits of Open Data movement for the regular citizen. In other contexts, chatbot applications are being increasingly adopted as a direct communication channel between companies and end-users. We believe the same could be true for Open Data as a way to bridge the gap between citizens and Open Data sources. This paper describes an approach to automatically derive full-fledged chatbots from API-based Open Data sources. Our process relies on a model-based intermediate representation (via UML class diagrams and profiles) to facilitate the customization of the chatbot to be generated.",International Conference on Web Engineering,2021,440-455,16,31,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_33
Publishing Base Registries as Linked Data Event Streams,"Dwight Van Lancker, Pieter Colpaert, Harm Delva, Brecht Van de Vyvere, Julián Rojas Meléndez, Ruben Dedecker, Raf Buyle & Ruben Verborgh; Philippe Michiels; Dwight Van Lancker, Raf Buyle & Annelies De Craene","Flemish Information Agency, Flanders, Belgium; Imec EDiT, Leuven, Belgium; IDLab, Department of Electronics and Information Systems, Ghent University–Imec, Ghent, Belgium",Semantic web; Web Apis; Data reuse; Data versioning,"Fostering interoperability, Public Sector Bodies (PSBs) maintain datasets that should become queryable as an integrated Knowledge Graph (KG). While some PSBs allow to query a part of the KG on their servers, others favor publishing data dumps allowing the querying to happen on third party servers. As the budget of a PSB to publish their dataset on the Web is finite, PSBs need guidance on what interface to offer first. A core API can be designed that covers the core tasks of Base Registries, which is a well-defined term in Flanders for the management of authoritative datasets. This core API should be the basis on which an ecosystem of data services can be built. In this paper, we introduce the concept of a Linked Data Event Stream (LDES) for datasets like air quality sensors and observations or a registry of officially registered addresses. We show that extra ecosystem requirements can be built on top of the LDES using a generic fragmenter. By using hypermedia for describing the LDES as well as the derived datasets, agents can dynamically discover their best way through the KG, and server administrators can dynamically add or remove functionality based on costs and needs. This way, we allow PSBs to prioritize API functionality based on three tiers: (i) the LDES, (ii) intermediary indexes and (iii) querying interfaces. While the ecosystem will never be feature-complete, based on the market needs, PSBs as well as market players can fill in gaps as requirements evolve.",International Conference on Web Engineering,2021,28-36,9,0,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_3
Effectiveness Comparison of Email Addresses Recovery from Gravatars,Przemysław Rodwald,"Department of Computer Science, Polish Naval Academy, Gdynia, Poland",MD5 hash function; Email recovery; Gravatar,"Internet was not designed for anonymity, but most users posting comments with unidentifiable pseudonyms hope to stay anonymous. On many websites, especially those powered by WordPress, the comments system is linked with the Gravatar service. That service uses email address, in obfuscated form (MD5 hash function), to provide users’ avatars. This approach allows to deanonymize real emails of users. Emails, which according to EU law, are considered as a personal information. This article explains all stages and results of the real attacks on a three types on websites: national ones, security oriented national ones and global one. We compare the effectiveness of three types of attacks: brute-force, dictionary and hybrid in relation to the type of attacked website.",International Conference on Web Engineering,2021,505-508,4,1,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_39
A Web-Based Co-Creation and User Engagement Method and Platform,"Andrea Tocchetti, Lorenzo Corti & Marco Brambilla; Diletta Di Marco","Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Ingegneria Gestionale, Politecnico di Milano, Milan, Italy",Crowdsourcing; Gamification; Co-creation; Policy-making,"In recent years, new methods to engage citizens in deliberative processes of governments and institutions have been studied. Such methodologies have become a necessity to assure the efficacy and longevity of policies. Several tools and solutions have been proposed while trying to achieve such a goal. The dual problem to citizen engagement is how to provide policy-makers with useful and actionable insights stemming from those processes. In this paper, we propose a research featuring a method and implementation of a crowdsourcing and co-creation technique that can provide value to both citizens and policy-makers engaged in the policy-making process. Thanks to our methodology, policy-makers can design challenges for citizens to partake, cooperate and provide their input. We also propose a web-based tool that allow citizens to participate and produce content to support the policy-making processes through a gamified interface that focuses on emotional and vision-oriented content.",International Conference on Web Engineering,2021,496-501,6,4,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_38
A Web Tool for XQuery Debugging,Jesús M. Almendros-Jiménez & Antonio Becerra-Terón,"Department of Informatics, University of Almería, 04120, Almería, Spain",Debugging; Database query languages; XQuery,"This system demo shows how to debug XQuery programs using an algorithmic debugger developed for XQuery. The debugging process consists in the building of a debugging tree and the answering of questions Yes/No by the user about the results of Function calls and XPath expressions until a bug is found (or no more questions remain). Using the higher-order capabilities of XQuery several debugging strategies –children selection strategies– can be used, enabling the adaptation of the debugging to the program/query.",International Conference on Web Engineering,2021,509-512,4,1,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_40
OntoSpect: IoT Ontology Inspection by Concept Extraction and Natural Language Generation,"Mahda Noura, Yichen Wang, Sebastian Heil & Martin Gaedke","Technische Universität Chemnitz, Chemnitz, Germany",Internet of Things; Semantic Web; Ontology; Concept extraction; Model-driven Engineering; Natural Language Generation,"One of the main challenges in the Internet of Things (IoT) is the lack of semantic interoperability between heterogeneous sources. In the Semantic Web domain, ontologies are one way to achieve semantic interoperability by using a common vocabulary that represents heterogeneous sources. However, recent studies have shown that the amount of concept reuse from existing IoT ontologies is low. As the number of IoT ontologies increases, encouraging users to reuse existing ontologies instead of creating new concepts becomes important. Ontology catalogues are a prominent approach to discover and inspect existing ontologies for reuse. However, such catalogues inspect the ontologies using general criteria which is not enough to understand the content of the ontology. In this paper, we propose a method for automatic ontology inspection (OntoSpect) of IoT ontologies from different application domains based on a generic set of content-related concepts. OntoSpect consists of two main steps: first it extracts the set of IoT concepts, and then generates human-understandable descriptions using a Model-driven Engineering (MDE) approach. We evaluate the quality of concept extraction and natural language description generation with 84 ontologies retrieved from the LOV4IoT catalogue and report on quality metrics. In addition, we conduct an empirical study with 28 ontology users to further assess the quality of the generated descriptions. The results demonstrate the capability of OntoSpect to support ontology users inspecting IoT ontologies.",International Conference on Web Engineering,2021,37-52,16,2,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_4
Managing Versioned Web Resources in the File System,Leon Müller & Lars Gleim,"Databases and Information Systems, RWTH Aachen University, Aachen, Germany",Linked data platform; Semantic data management; FUSE; File system; Version management; HTTP memento protocol,"While the WebDAV standard provides a well-established read/write mechanism for Web resources, as well as version management through its Delta-V extension, the complexity of the underlying protocol limits its practical adoption. The W3C Linked Data Platform (LDP) more recently provides an alternative approach for simultaneous resource and semantic metadata management on the Web. In combination with the HTTP Memento protocol, it has recently been successfully employed in the context of interoperable data management. Inspired by file system interfaces for WebDAV, we present factFUSE, the – to our knowledge – first user-space application for the joint management of arbitrary computer files and semantic RDF data & metadata in the file system based on the LDP and HTTP Memento Web standards.",International Conference on Web Engineering,2021,513-516,4,5,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_41
Applying Predictive Analytics on Research Information to Enhance Funding Discovery and Strengthen Collaboration in Project Proposals,Dang Vu Nguyen Hai & Martin Gaedke,"Chemnitz University of Technology, Chemnitz, Germany",Research Information Management System (RIMS); Linked data; Predictive analytics; Data driven decision making,"In academic and industrial research, writing a project proposal is one of the essential but time-consuming activities. Nevertheless, most proposals end in rejection. Moreover, research funding is getting more competitive these days. Funding agencies are increasingly looking for more extensive and more interdisciplinary research proposals. To increase the funding success rate, this PhD project focuses on three open challenges: poor data quality, inefficient funding discovery, and ineffective collaborative team building. We envision a Predictive Analytics-based approach that involves analyzing research information and using statistical and machine learning models that can assure data quality, increase funding discovery efficiency and the effectiveness of collaboration building. Accordingly, the goal of this PhD project is to support decision-making process to maximize the funding success rates of universities.",International Conference on Web Engineering,2021,490-495,6,0,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_37
"City-Stories: Combining Entity Linking, Multimedia Retrieval, and Crowdsourcing to Make Historical Data Accessible","Laura Rettig & Philippe Cudré-Mauroux; Shaban Shabani, Loris Sauter & Heiko Schuldt; Shaban Shabani & Maria Sokhn","University of Basel, Basel, Switzerland; University of Fribourg, Fribourg, Switzerland; University of Applied Sciences Western Switzerland (HES-SO), Neuchatel, Switzerland",Multimedia retrieval; Entity linking; Semantic data; Crowdsourcing,"Digitized historical image collections as provided by individuals or memory institutions often suffer from limited or a complete lack of metadata In this paper, we present the City-Stories system that combines entity linking, multimedia retrieval, and crowdsourcing to make historical images searchable even across collections.",International Conference on Web Engineering,2021,521-524,4,7,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_43
SMOTE: A Tool to Proactively Manage Situations in WoT Environments,"Daniel Flores-Martin, Javier Berrocal, José García-Alonso & Juan M. Murillo","Universidad de Extremadura, Badajoz, Spain",Web of Things; Smart-environments; Proactivity,"The growing number of devices in the Web of Things (WoT) allows larger and more complex smart environments. These environments aim to provide the desired state for the people, adapting the devices to their preferences. The characteristics of the environment, the people and the devices generate a multitude of interconnections and behaviours in specific situations. However, managing these situations is not straightforward because of their changing nature. Tools are needed to identify and automate these interactions according to the desired conditions. In this demo we present SMOTE (Situation Management fOr SmarT Environments), a tool for proactively managing situations in WoT environments, improving the management of different entities and reducing the effort for adapting devices to people’s preferences.",International Conference on Web Engineering,2021,525-529,5,0,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_44
Voice-Based Virtual Assistants for User Interaction Modeling,Marco Brambilla & Davide Molinelli,"Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy",,"In this work, we propose a virtual assistant that allows building models by means of voice commands. To demonstrate the generality of the approach, we describe three alternative strategies that apply voice-based support at three levels of detail: a fully-guided strategy; a pattern-based strategy; and an element-based strategy. We describe our implementation experience with the development of a design assistant covering the three strategies described above for OMG’s IFML (Interaction Flow Modeling Language), in the context of user interaction design, including the integration with the Amazon Alexa assistant. We report our results that show how the assistant can bring advantages in terms of productivity.",International Conference on Web Engineering,2021,530-533,4,3,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_45
"Similarity Search, Recommendation and Explainability over Graphs in Different Domains: Social Media, News, and Health Industry",Panagiotis Symeonidis,"University of the Aegean, Samos, Greece",Recommender systems; Graph-based algorithms,"In this tutorial, we provide a rich blend of theory and practice regarding graph algorithms, to deal with challenging issues such as scalability, data noise, and sparsity in recommender systems. We also demonstrate real-life systems that use the graph algorithms for Social Media (http://delab.csd.auth.gr/moviexplain/), News (http://metarec.inf.unibz.it) and Health (https://drugrec.inf.unibz.it) industry along with user studies which were used to evaluate the acceptance of the users for these systems.",International Conference on Web Engineering,2021,537-541,5,2,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_46
Influence Learning and Maximization,George Panagopoulos; Fragkiskos D. Malliaros,"École Polytechnique, Palaiseau, France; Université Paris-Saclay, CentraleSupélec, Inria, Gif-Sur-Yvette, France",Influence maximization; Machine learning; Graph mining; Social network analysis,"The problem of maximizing or minimizing the spreading in a social network has become more timely than ever with the advent of fake news and the coronavirus epidemic. The solution to this problem pertains to influence maximization algorithms that identify the right nodes to lockdown for epidemic containment, hire for viral marketing campaigns, block for online political propaganda etc. Though these algorithms have been developed for many years, the majority of the literature focuses on scalability issues and relaxing the method’s assumptions. In the recent years, the emergence of new complementary data and more advanced machine learning methods for decision have guided part of the literature towards learning-based approaches. These can range from learning how information spreads over a network, to learning how to solve the combinatorial optimization problem itself. In this tutorial, we aim to dissentangle and clearly define the different tasks around learning for influence applications in social networks. More specifically, we start from traditional influence maximization algorithms, describe the need of influence estimation and delineate the state-of-the-art on influence and diffusion learning. Subsequently, we delve into the problem of learning while optimizing the influence spreading which is based on online learning algorithms. Finally, we describe the latest approaches on learning influence maximization with graph neural networks and deep reinforcement learning.",International Conference on Web Engineering,2021,547-550,4,161,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_48
High-Level Interaction Design with Discourse Models for Automated Web GUI Generation,Hermann Kaindl,"TU Wien, Vienna, Austria",Interaction design; Discourse models; Task models; Automated Web GUI generation; Customization; Low-vision accessibility of Web-pages,"Interaction design is considered important for achieving usable Web user interfaces. Communicative acts as abstractions from speech acts can model basic building blocks (‘atoms’) of communication, like a question or an answer. When, e.g., a question and an answer are glued together as a so-called adjacency pair, a simple ‘molecule’ of a dialogue is modeled. Deliberately complex discourse structures can be modeled using relations from Rhetorical Structure Theory (RST). The content of a communicative act can refer to ontologies of the domain of discourse. Taking all this together, we created a new discourse metamodel that specifies what discourse models may look like. Such discourse models can specify an interaction design. Since manual creation of user interfaces is hard and expensive, automated generation may become more and more important. This tutorial also demonstrates how such an interaction design can be used for automated Web user-interface generation. This is based on model-transformation rules according to the model-driven architecture. Based on AI optimization techniques, the graphical user interfaces (GUIs) are automatically tailored to a device such as a smartphone according to a given device specification. Since the usability of fully-automatically generated GUIs is still not satisfactory, unique customization techniques are employed as well. We also address low-vision accessibility of Web-pages, by combining automated design-time generation of Web-pages with responsive design for improving accessibility.",International Conference on Web Engineering,2021,542-546,5,0,https://link.springer.com/chapter/10.1007/978-3-030-74296-6_47
